"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016053","GO:0016053","organic acid biosynthetic process","15/329","123/11306",2.69615720195062e-06,0.000203266808181842,0.000186324822651965,"FBgn0012034/FBgn0001142/FBgn0261625/FBgn0032076/FBgn0027348/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0042627/FBgn0053110/FBgn0052068",15
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","15/329","123/11306",2.69615720195062e-06,0.000203266808181842,0.000186324822651965,"FBgn0012034/FBgn0001142/FBgn0261625/FBgn0032076/FBgn0027348/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0042627/FBgn0053110/FBgn0052068",15
"GO:0090502","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","7/329","24/11306",3.7444709633847e-06,0.000268496663002147,0.000246117866286191,"FBgn0052409/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0026702/FBgn0034073/FBgn0036254",7
"GO:0090501","GO:0090501","RNA phosphodiester bond hydrolysis","9/329","44/11306",3.8710591551636e-06,0.000268496663002147,0.000246117866286191,"FBgn0265192/FBgn0052409/FBgn0029148/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0026702/FBgn0034073/FBgn0036254",9
"GO:0006356","GO:0006356","regulation of transcription by RNA polymerase I","5/329","10/11306",4.52392109563058e-06,0.000301710737685516,0.000276563597344218,"FBgn0284251/FBgn0263510/FBgn0001341/FBgn0086451/FBgn0262656",5
"GO:0006641","GO:0006641","triglyceride metabolic process","8/329","38/11306",1.07710700131125e-05,0.000671746538568188,0.000615757465694144,"FBgn0035266/FBgn0036449/FBgn0001128/FBgn0053120/FBgn0025592/FBgn0033246/FBgn0283427/FBgn0038197",8
"GO:0005975","GO:0005975","carbohydrate metabolic process","22/329","267/11306",1.08471182698439e-05,0.000671746538568188,0.000615757465694144,"FBgn0035266/FBgn0043783/FBgn0261575/FBgn0031417/FBgn0035484/FBgn0038463/FBgn0032382/FBgn0036862/FBgn0001128/FBgn0261955/FBgn0052190/FBgn0025592/FBgn0033246/FBgn0024289/FBgn0023477/FBgn0283427/FBgn0038957/FBgn0050359/FBgn0036262/FBgn0262656/FBgn0030087/FBgn0027580",22
"GO:0006360","GO:0006360","transcription by RNA polymerase I","7/329","28/11306",1.15868805687857e-05,0.00069281554849222,0.000635070405040522,"FBgn0284251/FBgn0263510/FBgn0001341/FBgn0003278/FBgn0086451/FBgn0019938/FBgn0262656",7
"GO:0019637","GO:0019637","organophosphate metabolic process","28/329","401/11306",1.6209633055879e-05,0.000936916790629807,0.000858826172434292,"FBgn0037167/FBgn0039241/FBgn0032482/FBgn0035266/FBgn0036837/FBgn0012034/FBgn0002719/FBgn0000536/FBgn0036030/FBgn0003965/FBgn0041342/FBgn0020513/FBgn0250862/FBgn0001128/FBgn0025592/FBgn0266452/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0263241/FBgn0037643/FBgn0022160/FBgn0085371/FBgn0039464/FBgn0011205/FBgn0039856/FBgn0034997",28
"GO:0006576","GO:0006576","biogenic amine metabolic process","7/329","30/11306",1.89481952012204e-05,0.00105987646706181,0.000971537343084648,"FBgn0032482/FBgn0013308/FBgn0005626/FBgn0003965/FBgn0003996/FBgn0019932/FBgn0037723",7
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","12/329","98/11306",2.59586647057511e-05,0.00140663514374289,0.00128939420084487,"FBgn0013308/FBgn0001142/FBgn0005626/FBgn0261625/FBgn0032076/FBgn0036992/FBgn0003965/FBgn0022774/FBgn0037955/FBgn0036157/FBgn0034215/FBgn0052068",12
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/329","32/11306",2.97973329991648e-05,0.00152301578942571,0.00139607469315414,"FBgn0052409/FBgn0086451/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0034933/FBgn0036254",7
"GO:0055088","GO:0055088","lipid homeostasis","11/329","84/11306",2.98630546946217e-05,0.00152301578942571,0.00139607469315414,"FBgn0028480/FBgn0036449/FBgn0038984/FBgn0066101/FBgn0283427/FBgn0283499/FBgn0262656/FBgn0011205/FBgn0283472/FBgn0034629/FBgn0032940",11
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5/329","14/11306",3.26396813216824e-05,0.0015296542543729,0.00140215985194141,"FBgn0028744/FBgn0266581/FBgn0038968/FBgn0034073/FBgn0030720",5
"GO:0009309","GO:0009309","amine biosynthetic process","5/329","14/11306",3.26396813216824e-05,0.0015296542543729,0.00140215985194141,"FBgn0013308/FBgn0005626/FBgn0003996/FBgn0019932/FBgn0037723",5
"GO:0042401","GO:0042401","biogenic amine biosynthetic process","5/329","14/11306",3.26396813216824e-05,0.0015296542543729,0.00140215985194141,"FBgn0013308/FBgn0005626/FBgn0003996/FBgn0019932/FBgn0037723",5
"GO:0044255","GO:0044255","cellular lipid metabolic process","27/329","397/11306",3.66263517584135e-05,0.00167131826181813,0.00153201637549043,"FBgn0037167/FBgn0032482/FBgn0035266/FBgn0036837/FBgn0012034/FBgn0000536/FBgn0013772/FBgn0036449/FBgn0027348/FBgn0041342/FBgn0250862/FBgn0038984/FBgn0001128/FBgn0053120/FBgn0260942/FBgn0025592/FBgn0266452/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0038197/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110/FBgn0034997",27
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","17/329","191/11306",4.17504735754064e-05,0.00185629028666038,0.00170157125772911,"FBgn0012034/FBgn0002719/FBgn0013772/FBgn0027348/FBgn0011770/FBgn0038984/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0038957/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110/FBgn0027580",17
"GO:0009308","GO:0009308","amine metabolic process","7/329","34/11306",4.53000823801787e-05,0.00196375857118075,0.00180008222089658,"FBgn0032482/FBgn0013308/FBgn0005626/FBgn0003965/FBgn0003996/FBgn0019932/FBgn0037723",7
"GO:0006638","GO:0006638","neutral lipid metabolic process","8/329","47/11306",5.51351917842667e-05,0.0022762957750933,0.00208656991464267,"FBgn0035266/FBgn0036449/FBgn0001128/FBgn0053120/FBgn0025592/FBgn0033246/FBgn0283427/FBgn0038197",8
"GO:0006639","GO:0006639","acylglycerol metabolic process","8/329","47/11306",5.51351917842667e-05,0.0022762957750933,0.00208656991464267,"FBgn0035266/FBgn0036449/FBgn0001128/FBgn0053120/FBgn0025592/FBgn0033246/FBgn0283427/FBgn0038197",8
"GO:0006520","GO:0006520","amino acid metabolic process","15/329","159/11306",6.06491351180797e-05,0.00244571163476163,0.00224186521489107,"FBgn0013308/FBgn0001142/FBgn0005626/FBgn0261625/FBgn0032076/FBgn0036992/FBgn0003965/FBgn0022774/FBgn0037955/FBgn0037818/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0037709/FBgn0052068",15
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","21/329","281/11306",7.27298675876414e-05,0.00286621796356751,0.00262732296787891,"FBgn0039241/FBgn0012034/FBgn0053056/FBgn0002719/FBgn0036030/FBgn0003965/FBgn0020513/FBgn0001128/FBgn0266452/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0037643/FBgn0085371/FBgn0039464/FBgn0037513/FBgn0034215/FBgn0011205/FBgn0039856/FBgn0039690",21
"GO:0090305","GO:0090305","nucleic acid phosphodiester bond hydrolysis","9/329","65/11306",0.000102016634483856,0.00393104098211125,0.00360339457475141,"FBgn0265192/FBgn0052409/FBgn0029148/FBgn0036686/FBgn0033169/FBgn0037073/FBgn0026702/FBgn0034073/FBgn0036254",9
"GO:0044282","GO:0044282","small molecule catabolic process","15/329","168/11306",0.00011360188879371,0.00428229728626726,0.00392537418943942,"FBgn0043783/FBgn0053503/FBgn0261625/FBgn0031417/FBgn0036992/FBgn0003965/FBgn0022774/FBgn0010383/FBgn0024289/FBgn0039464/FBgn0037709/FBgn0036262/FBgn0040349/FBgn0034629/FBgn0038742",15
"GO:0006072","GO:0006072","glycerol-3-phosphate metabolic process","4/329","10/11306",0.000128689741151297,0.00474783002460317,0.00435210546782661,"FBgn0035266/FBgn0001128/FBgn0025592/FBgn0022160",4
"GO:0010876","GO:0010876","lipid localization","14/329","153/11306",0.000147554456565841,0.00533040474344099,0.0048861234520706,"FBgn0267339/FBgn0039801/FBgn0087002/FBgn0036449/FBgn0250862/FBgn0039800/FBgn0283427/FBgn0038197/FBgn0083956/FBgn0283499/FBgn0032783/FBgn0266369/FBgn0036816/FBgn0266758",14
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","11/329","102/11306",0.00017985329228196,0.00636460426156976,0.00583412398164896,"FBgn0035266/FBgn0035484/FBgn0038463/FBgn0036862/FBgn0025592/FBgn0033246/FBgn0024289/FBgn0283427/FBgn0036262/FBgn0262656/FBgn0030087",11
"GO:0052646","GO:0052646","alditol phosphate metabolic process","4/329","11/11306",0.000197600263805623,0.00685277714877901,0.00628160838624191,"FBgn0035266/FBgn0001128/FBgn0025592/FBgn0022160",4
"GO:0006631","GO:0006631","fatty acid metabolic process","13/329","140/11306",0.000218866508364279,0.00744146128438547,0.00682122657647184,"FBgn0012034/FBgn0013772/FBgn0027348/FBgn0038984/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0040349/FBgn0034629/FBgn0038742/FBgn0042627/FBgn0053110",13
"GO:0008652","GO:0008652","amino acid biosynthetic process","7/329","44/11306",0.000251400819482137,0.0083832504035005,0.00768451897607343,"FBgn0001142/FBgn0261625/FBgn0032076/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0052068",7
"GO:0048067","GO:0048067","cuticle pigmentation","5/329","21/11306",0.000280470266373517,0.00917614041305055,0.00841132278498533,"FBgn0267339/FBgn0005626/FBgn0014006/FBgn0038947/FBgn0283531",5
"GO:0001522","GO:0001522","pseudouridine synthesis","4/329","12/11306",0.000289625858855397,0.00930020813435665,0.00852504964662086,"FBgn0259937/FBgn0011824/FBgn0029148/FBgn0032701",4
"GO:0009117","GO:0009117","nucleotide metabolic process","17/329","225/11306",0.000309856495269647,0.00976893023268306,0.00895470445659651,"FBgn0039241/FBgn0012034/FBgn0002719/FBgn0036030/FBgn0003965/FBgn0020513/FBgn0001128/FBgn0266452/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0037643/FBgn0085371/FBgn0039464/FBgn0011205/FBgn0039856",17
"GO:0070328","GO:0070328","triglyceride homeostasis","6/329","33/11306",0.000330582008125243,0.0102362357515924,0.00938306075693829,"FBgn0036449/FBgn0038984/FBgn0283427/FBgn0283499/FBgn0011205/FBgn0032940",6
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","17/329","229/11306",0.000380580771819813,0.0115776676900975,0.0106126863425285,"FBgn0039241/FBgn0012034/FBgn0002719/FBgn0036030/FBgn0003965/FBgn0020513/FBgn0001128/FBgn0266452/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0037643/FBgn0085371/FBgn0039464/FBgn0011205/FBgn0039856",17
"GO:0055090","GO:0055090","acylglycerol homeostasis","6/329","34/11306",0.000391713849356328,0.0117108933583426,0.010734807849874,"FBgn0036449/FBgn0038984/FBgn0283427/FBgn0283499/FBgn0011205/FBgn0032940",6
"GO:0031167","GO:0031167","rRNA methylation","4/329","14/11306",0.000559258208735696,0.0161625622324616,0.0148154367577351,"FBgn0037137/FBgn0033741/FBgn0003062/FBgn0030720",4
"GO:0048085","GO:0048085","adult chitin-containing cuticle pigmentation","4/329","14/11306",0.000559258208735696,0.0161625622324616,0.0148154367577351,"FBgn0267339/FBgn0005626/FBgn0014006/FBgn0283531",4
"GO:0044283","GO:0044283","small molecule biosynthetic process","16/329","217/11306",0.000605396169759434,0.0172091304649649,0.0157747750877782,"FBgn0012034/FBgn0001142/FBgn0261625/FBgn0032076/FBgn0027348/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0036157/FBgn0037513/FBgn0034215/FBgn0042627/FBgn0053110/FBgn0052068/FBgn0027580",16
"GO:0035264","GO:0035264","multicellular organism growth","7/329","51/11306",0.000638154557330698,0.0178477419743779,0.0163601592796155,"FBgn0003867/FBgn0086365/FBgn0038473/FBgn0038197/FBgn0283499/FBgn0262656/FBgn0283472",7
"GO:0048079","GO:0048079","regulation of cuticle pigmentation","4/329","15/11306",0.000745244277397324,0.020511961539793,0.0188023201147863,"FBgn0267339/FBgn0005626/FBgn0014006/FBgn0038947",4
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","6/329","39/11306",0.000840958632883013,0.0227847229596741,0.0208856502574564,"FBgn0001142/FBgn0261625/FBgn0032076/FBgn0036157/FBgn0034215/FBgn0052068",6
"GO:0006163","GO:0006163","purine nucleotide metabolic process","15/329","203/11306",0.000870983390558879,0.0232351569112169,0.0212985412104276,"FBgn0039241/FBgn0012034/FBgn0002719/FBgn0036030/FBgn0003965/FBgn0020513/FBgn0001128/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0037643/FBgn0085371/FBgn0011205/FBgn0039856",15
"GO:0006979","GO:0006979","response to oxidative stress","12/329","142/11306",0.000888569160133034,0.0233451352071315,0.0213993529792804,"FBgn0267339/FBgn0000565/FBgn0037248/FBgn0005626/FBgn0044810/FBgn0001248/FBgn0038197/FBgn0260747/FBgn0283499/FBgn0011205/FBgn0283472/FBgn0283531",12
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","4/329","16/11306",0.000971035087438882,0.0251309677853585,0.0230363390735697,"FBgn0000565/FBgn0036157/FBgn0034215/FBgn0052068",4
"GO:0006066","GO:0006066","alcohol metabolic process","9/329","88/11306",0.00101596271490344,0.0255089795090576,0.023382844083456,"FBgn0032482/FBgn0035266/FBgn0001128/FBgn0025592/FBgn0001248/FBgn0024289/FBgn0033188/FBgn0022160/FBgn0036262",9
"GO:0006633","GO:0006633","fatty acid biosynthetic process","8/329","71/11306",0.00101867158840995,0.0255089795090576,0.023382844083456,"FBgn0012034/FBgn0027348/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0042627/FBgn0053110",8
"GO:0072521","GO:0072521","purine-containing compound metabolic process","16/329","228/11306",0.00102977425930452,0.0255089795090576,0.023382844083456,"FBgn0039241/FBgn0012034/FBgn0053056/FBgn0002719/FBgn0036030/FBgn0003965/FBgn0020513/FBgn0001128/FBgn0001248/FBgn0023477/FBgn0020236/FBgn0038957/FBgn0037643/FBgn0085371/FBgn0011205/FBgn0039856",16
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","8/329","74/11306",0.00133842762591459,0.0326877958216324,0.0299633167550931,"FBgn0012034/FBgn0027348/FBgn0260942/FBgn0033246/FBgn0020236/FBgn0283427/FBgn0042627/FBgn0053110",8
"GO:0031503","GO:0031503","protein-containing complex localization","7/329","58/11306",0.00139319214266482,0.0335527107691778,0.0307561423307585,"FBgn0034243/FBgn0052409/FBgn0023542/FBgn0033379/FBgn0033661/FBgn0033169/FBgn0032470",7
"GO:0046486","GO:0046486","glycerolipid metabolic process","12/329","151/11306",0.00151623877984114,0.0360158636197882,0.0330139950621503,"FBgn0032482/FBgn0035266/FBgn0036837/FBgn0000536/FBgn0036449/FBgn0041342/FBgn0001128/FBgn0053120/FBgn0025592/FBgn0033246/FBgn0283427/FBgn0038197",12
"GO:0007593","GO:0007593","chitin-based cuticle sclerotization","4/329","18/11306",0.00155922841370407,0.0365365144508494,0.0334912504223775,"FBgn0267339/FBgn0005626/FBgn0014006/FBgn0283531",4
"GO:0040014","GO:0040014","regulation of multicellular organism growth","6/329","45/11306",0.00181389270324352,0.0417239430630401,0.0382463145906578,"FBgn0003867/FBgn0086365/FBgn0038473/FBgn0038197/FBgn0283499/FBgn0262656",6
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","7/329","61/11306",0.00187685557030976,0.0417239430630401,0.0382463145906578,"FBgn0012034/FBgn0003965/FBgn0020236/FBgn0037643/FBgn0085371/FBgn0011205/FBgn0039856",7
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","7/329","61/11306",0.00187685557030976,0.0417239430630401,0.0382463145906578,"FBgn0012034/FBgn0003965/FBgn0020236/FBgn0037643/FBgn0085371/FBgn0011205/FBgn0039856",7
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","7/329","61/11306",0.00187685557030976,0.0417239430630401,0.0382463145906578,"FBgn0012034/FBgn0003965/FBgn0020236/FBgn0037643/FBgn0085371/FBgn0011205/FBgn0039856",7
"GO:0010883","GO:0010883","regulation of lipid storage","6/329","46/11306",0.00203586360418059,0.0446859175904954,0.0409614129555321,"FBgn0267339/FBgn0036449/FBgn0283427/FBgn0038197/FBgn0283499/FBgn0036816",6
