"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008039","GO:0008039","synaptic target recognition","14/718","50/11378",1.56125338314646e-06,0.000218926938752581,0.000211830317872835,"FBgn0264273/FBgn0030887/FBgn0010453/FBgn0264442/FBgn0033791/FBgn0010114/FBgn0005775/FBgn0039528/FBgn0041097/FBgn0000636/FBgn0036202/FBgn0035539/FBgn0085414/FBgn0085407",14
"GO:0042330","GO:0042330","taxis","44/718","329/11378",1.64316024670811e-06,0.000218926938752581,0.000211830317872835,"FBgn0264273/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0005775/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0266129/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0035113/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0023178/FBgn0020391/FBgn0000504/FBgn0003423/FBgn0265296",44
"GO:0061564","GO:0061564","axon development","44/718","330/11378",1.78455732404791e-06,0.000224556796609362,0.000217277681208641,"FBgn0264273/FBgn0004666/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0005775/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0025878/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0265296",44
"GO:0045229","GO:0045229","external encapsulating structure organization","25/718","145/11378",3.73435732836613e-06,0.000444091030043485,0.00042969560801698,"FBgn0000427/FBgn0041252/FBgn0052774/FBgn0051926/FBgn0086265/FBgn0036715/FBgn0029696/FBgn0051661/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0033438/FBgn0086266/FBgn0003979/FBgn0026403/FBgn0002926/FBgn0286204/FBgn0263038/FBgn0010382/FBgn0032126/FBgn0260962/FBgn0259244",25
"GO:0007409","GO:0007409","axonogenesis","42/718","318/11378",3.92133359861797e-06,0.000444091030043485,0.00042969560801698,"FBgn0264273/FBgn0004666/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0265296",42
"GO:0040011","GO:0040011","locomotion","51/718","425/11378",6.28056365519228e-06,0.000677403651381453,0.000655445289729841,"FBgn0264273/FBgn0004666/FBgn0000071/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0005775/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0037130/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0266129/FBgn0005638/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0004839/FBgn0003977/FBgn0024836/FBgn0030964/FBgn0261046/FBgn0013433/FBgn0035113/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0023178/FBgn0020391/FBgn0000504/FBgn0085407/FBgn0003423/FBgn0265296",51
"GO:0007417","GO:0007417","central nervous system development","38/718","282/11378",7.063216093587e-06,0.00072719020236248,0.000703617985973595,"FBgn0004666/FBgn0040318/FBgn0004102/FBgn0003312/FBgn0262636/FBgn0000411/FBgn0003254/FBgn0004595/FBgn0033438/FBgn0261963/FBgn0002466/FBgn0264442/FBgn0032362/FBgn0029123/FBgn0000448/FBgn0014179/FBgn0001319/FBgn0001148/FBgn0005677/FBgn0266129/FBgn0039039/FBgn0003300/FBgn0044028/FBgn0034521/FBgn0041097/FBgn0284084/FBgn0045064/FBgn0010382/FBgn0024836/FBgn0004368/FBgn0039286/FBgn0003448/FBgn0264598/FBgn0085444/FBgn0260400/FBgn0019650/FBgn0004635/FBgn0000492",38
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","24/718","148/11378",1.70547445088588e-05,0.00167952157880718,0.00162507908775487,"FBgn0000427/FBgn0041252/FBgn0052774/FBgn0051926/FBgn0086265/FBgn0036715/FBgn0029696/FBgn0051661/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0086266/FBgn0003979/FBgn0026403/FBgn0002926/FBgn0283471/FBgn0053519/FBgn0010382/FBgn0032126/FBgn0003149/FBgn0260962",24
"GO:0030198","GO:0030198","extracellular matrix organization","14/718","64/11378",3.49079798962379e-05,0.00317877263742082,0.00307573120999658,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0033438/FBgn0086266/FBgn0003979/FBgn0026403/FBgn0286204/FBgn0263038/FBgn0259244",14
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","9/718","28/11378",3.5085790700009e-05,0.00317877263742082,0.00307573120999658,"FBgn0000071/FBgn0024189/FBgn0001075/FBgn0038494/FBgn0038498/FBgn0039584/FBgn0000636/FBgn0013433/FBgn0038087",9
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","48/718","423/11378",5.06806200237085e-05,0.0042515436745293,0.00411372786353898,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",48
"GO:0016339","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","8/718","23/11378",5.06806530738592e-05,0.0042515436745293,0.00411372786353898,"FBgn0036715/FBgn0039709/FBgn0015609/FBgn0038247/FBgn0001075/FBgn0030617/FBgn0038439/FBgn0024836",8
"GO:0000904","GO:0000904","cell morphogenesis involved in differentiation","51/718","460/11378",5.46458515722242e-05,0.00442045906468171,0.00427716778095379,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0026319/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0036985/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0284435/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",51
"GO:0048812","GO:0048812","neuron projection morphogenesis","48/718","427/11378",6.4203187755376e-05,0.00480540690253041,0.00464963735148986,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",48
"GO:0031175","GO:0031175","neuron projection development","51/718","463/11378",6.47191858305739e-05,0.00480540690253041,0.00464963735148986,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0262636/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0005775/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0025878/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",51
"GO:0005975","GO:0005975","carbohydrate metabolic process","34/718","267/11378",6.88185860997198e-05,0.00480540690253041,0.00464963735148986,"FBgn0038463/FBgn0043783/FBgn0260746/FBgn0026415/FBgn0038957/FBgn0001128/FBgn0032381/FBgn0032820/FBgn0035978/FBgn0001089/FBgn0035679/FBgn0035484/FBgn0031996/FBgn0033297/FBgn0003074/FBgn0000064/FBgn0032066/FBgn0032067/FBgn0034356/FBgn0033296/FBgn0031907/FBgn0027535/FBgn0261341/FBgn0250907/FBgn0032598/FBgn0011740/FBgn0270925/FBgn0034618/FBgn0004507/FBgn0003169/FBgn0036659/FBgn0023511/FBgn0036862/FBgn0267385",34
"GO:0030855","GO:0030855","epithelial cell differentiation","40/718","335/11378",7.05086643890125e-05,0.00480540690253041,0.00464963735148986,"FBgn0000427/FBgn0037405/FBgn0014464/FBgn0086265/FBgn0038011/FBgn0036938/FBgn0014465/FBgn0052642/FBgn0085362/FBgn0039709/FBgn0014466/FBgn0052644/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0030439/FBgn0261963/FBgn0086266/FBgn0001075/FBgn0003979/FBgn0264442/FBgn0013725/FBgn0000964/FBgn0005638/FBgn0026319/FBgn0028685/FBgn0001083/FBgn0264272/FBgn0028982/FBgn0284084/FBgn0014388/FBgn0003977/FBgn0024836/FBgn0036985/FBgn0030964/FBgn0032311/FBgn0284435/FBgn0004959/FBgn0003255",40
"GO:0048858","GO:0048858","cell projection morphogenesis","48/718","429/11378",7.21341433492423e-05,0.00480540690253041,0.00464963735148986,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",48
"GO:0120039","GO:0120039","plasma membrane bounded cell projection morphogenesis","48/718","429/11378",7.21341433492423e-05,0.00480540690253041,0.00464963735148986,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",48
"GO:0002064","GO:0002064","epithelial cell development","35/718","281/11378",8.50856044633921e-05,0.00546205835993017,0.00528500313947932,"FBgn0000427/FBgn0037405/FBgn0014464/FBgn0086265/FBgn0038011/FBgn0036938/FBgn0014465/FBgn0052642/FBgn0085362/FBgn0039709/FBgn0014466/FBgn0052644/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0030439/FBgn0261963/FBgn0086266/FBgn0003979/FBgn0264442/FBgn0000964/FBgn0005638/FBgn0026319/FBgn0028685/FBgn0028982/FBgn0284084/FBgn0014388/FBgn0003977/FBgn0036985/FBgn0030964/FBgn0032311/FBgn0284435/FBgn0004959/FBgn0003255",35
"GO:0030707","GO:0030707","follicle cell of egg chamber development","32/718","248/11378",8.68141726081617e-05,0.00546205835993017,0.00528500313947932,"FBgn0000427/FBgn0037405/FBgn0014464/FBgn0086265/FBgn0038011/FBgn0036938/FBgn0014465/FBgn0052642/FBgn0085362/FBgn0039709/FBgn0014466/FBgn0052644/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0030439/FBgn0261963/FBgn0086266/FBgn0003979/FBgn0264442/FBgn0000964/FBgn0005638/FBgn0028685/FBgn0028982/FBgn0284084/FBgn0014388/FBgn0003977/FBgn0030964/FBgn0032311/FBgn0004959/FBgn0003255",32
"GO:0032990","GO:0032990","cell part morphogenesis","48/718","437/11378",0.000113617151449037,0.00695521210897481,0.00672975559934265,"FBgn0264273/FBgn0004666/FBgn0004102/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0261984/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001319/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0037375/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0085447/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0016047/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0004635/FBgn0003997/FBgn0265296",48
"GO:0006805","GO:0006805","xenobiotic metabolic process","7/718","20/11378",0.000145190845218325,0.0084322375492181,0.0081589025572079,"FBgn0033887/FBgn0031182/FBgn0025454/FBgn0033065/FBgn0013772/FBgn0004959/FBgn0027074",7
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","7/718","20/11378",0.000145190845218325,0.0084322375492181,0.0081589025572079,"FBgn0033887/FBgn0031182/FBgn0025454/FBgn0033065/FBgn0013772/FBgn0004959/FBgn0027074",7
"GO:0008045","GO:0008045","motor neuron axon guidance","13/718","69/11378",0.000325082560647648,0.0182922386408233,0.0176992870222814,"FBgn0032651/FBgn0003312/FBgn0034013/FBgn0030887/FBgn0033438/FBgn0010453/FBgn0033791/FBgn0001138/FBgn0027491/FBgn0003896/FBgn0013433/FBgn0004368/FBgn0261509",13
"GO:0031290","GO:0031290","retinal ganglion cell axon guidance","5/718","11/11378",0.000331117785551327,0.0182922386408233,0.0176992870222814,"FBgn0015609/FBgn0010453/FBgn0052227/FBgn0014179/FBgn0004839",5
"GO:0043062","GO:0043062","extracellular structure organization","14/718","79/11378",0.000376489485450033,0.0203035401081982,0.0196453911956634,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0033438/FBgn0086266/FBgn0003979/FBgn0026403/FBgn0286204/FBgn0263038/FBgn0259244",14
"GO:0044331","GO:0044331","cell-cell adhesion mediated by cadherin","6/718","17/11378",0.000419225783783735,0.0220824744248874,0.0213666605101037,"FBgn0036715/FBgn0039709/FBgn0015609/FBgn0038247/FBgn0001075/FBgn0038439",6
"GO:0032366","GO:0032366","intracellular sterol transport","5/718","12/11378",0.000538250366485774,0.0277076609111427,0.0268095039000809,"FBgn0039800/FBgn0039801/FBgn0039154/FBgn0037783/FBgn0038198",5
"GO:0005996","GO:0005996","monosaccharide metabolic process","13/718","73/11378",0.000574821241850737,0.0289326691731538,0.02799480293645,"FBgn0038463/FBgn0043783/FBgn0032820/FBgn0001089/FBgn0035679/FBgn0035484/FBgn0003074/FBgn0032066/FBgn0032067/FBgn0034356/FBgn0011740/FBgn0004507/FBgn0003169",13
"GO:0009410","GO:0009410","response to xenobiotic stimulus","7/718","25/11378",0.000682240862335504,0.0335929468084764,0.0325040154549776,"FBgn0033887/FBgn0031182/FBgn0025454/FBgn0033065/FBgn0013772/FBgn0004959/FBgn0027074",7
"GO:0030301","GO:0030301","cholesterol transport","5/718","13/11378",0.000829458801910904,0.0399728550282595,0.0386771159144122,"FBgn0039800/FBgn0039801/FBgn0039154/FBgn0037783/FBgn0038198",5
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","24/718","191/11378",0.000940982394444895,0.0444026067378685,0.0429632751147867,"FBgn0039754/FBgn0038983/FBgn0250836/FBgn0053110/FBgn0034552/FBgn0038957/FBgn0034383/FBgn0035926/FBgn0039156/FBgn0260942/FBgn0038130/FBgn0034553/FBgn0003074/FBgn0000064/FBgn0037440/FBgn0034356/FBgn0034629/FBgn0037547/FBgn0039737/FBgn0039543/FBgn0013772/FBgn0028479/FBgn0267385/FBgn0020236",24
