"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019637","GO:0019637","organophosphate metabolic process","12/107","401/11357",0.000381296985181348,0.0137448484658229,0.0124423226743387,"FBgn0037167/FBgn0039241/FBgn0032482/FBgn0036837/FBgn0031735/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626/FBgn0002719",12
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","6/107","106/11357",0.000483428807876531,0.016634345798297,0.01505799779558,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0052626",6
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","6/107","108/11357",0.000534114446843187,0.0169403697419452,0.0153350214864859,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0052626",6
"GO:0006633","GO:0006633","fatty acid biosynthetic process","5/107","71/11357",0.000537079093535912,0.0169403697419452,0.0153350214864859,"FBgn0027348/FBgn0261283/FBgn0012034/FBgn0038733/FBgn0086687",5
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","6/107","110/11357",0.000588844033987319,0.017830197349136,0.016140524889505,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0052626",6
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","5/107","74/11357",0.000649832649274601,0.0182726539235214,0.0165410522202773,"FBgn0027348/FBgn0261283/FBgn0012034/FBgn0038733/FBgn0086687",5
"GO:0006163","GO:0006163","purine nucleotide metabolic process","8/107","203/11357",0.000651732702688344,0.0182726539235214,0.0165410522202773,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626/FBgn0002719",8
"GO:0042558","GO:0042558","pteridine-containing compound metabolic process","3/107","20/11357",0.000824848339443054,0.0223003640342283,0.0201870777811063,"FBgn0010222/FBgn0029823/FBgn0030041",3
"GO:0044282","GO:0044282","small molecule catabolic process","7/107","168/11357",0.00103204154945419,0.0261581790867948,0.0236793083299776,"FBgn0043783/FBgn0032945/FBgn0029823/FBgn0053503/FBgn0003965/FBgn0031417/FBgn0035811",7
"GO:0044283","GO:0044283","small molecule biosynthetic process","8/107","218/11357",0.00103665174716492,0.0261581790867948,0.0236793083299776,"FBgn0001142/FBgn0027348/FBgn0261283/FBgn0012034/FBgn0029823/FBgn0030041/FBgn0038733/FBgn0086687",8
"GO:0009165","GO:0009165","nucleotide biosynthetic process","6/107","125/11357",0.00115112151497173,0.0280006034732996,0.0253471360093417,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0052626",6
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","7/107","172/11357",0.00118364506095851,0.0280006034732996,0.0253471360093417,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626",7
"GO:0009117","GO:0009117","nucleotide metabolic process","8/107","225/11357",0.00126980812680455,0.028533458364067,0.025829495091438,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626/FBgn0002719",8
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","6/107","128/11357",0.00130114455942829,0.028533458364067,0.025829495091438,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0052626",6
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","9/107","281/11357",0.00131924840520785,0.028533458364067,0.025829495091438,"FBgn0039241/FBgn0012034/FBgn0029823/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626/FBgn0002719",9
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","8/107","229/11357",0.00142074183432435,0.0298750435717648,0.0270439454428407,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626/FBgn0002719",8
"GO:0009259","GO:0009259","ribonucleotide metabolic process","7/107","180/11357",0.00153903664465334,0.0314878578379076,0.0285039219251586,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626",7
"GO:0048149","GO:0048149","behavioral response to ethanol","4/107","54/11357",0.00164011997948567,0.0326729164334382,0.0295766788544369,"FBgn0010052/FBgn0012034/FBgn0029823/FBgn0036697",4
"GO:0019693","GO:0019693","ribose phosphate metabolic process","7/107","183/11357",0.00169192395585903,0.0328406778098791,0.0297285423823004,"FBgn0039241/FBgn0012034/FBgn0000052/FBgn0038733/FBgn0020513/FBgn0003965/FBgn0052626",7
"GO:0006631","GO:0006631","fatty acid metabolic process","6/107","140/11357",0.00205561931878628,0.0389025956080303,0.0352160046455228,"FBgn0027348/FBgn0261283/FBgn0012034/FBgn0038733/FBgn0035811/FBgn0086687",6
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","7/107","191/11357",0.00215785523018856,0.0398413758354327,0.0360658216906997,"FBgn0027348/FBgn0261283/FBgn0012034/FBgn0038733/FBgn0035811/FBgn0086687/FBgn0002719",7
